源,目标,值
bicycles,Path,246
architecture,Pavilions and buildings,183
herbaceous flowers,Floral landscape,106
web map,Logo system,47
water,Water landscape,196
evergreen trees,Tree landscape,188
recreational facilities,Sculpture,11
recreational facilities,Square,21
recreational facilities,Tree landscape,7
recreational facilities,Pavilions and buildings,11
recreational facilities,Recreational facilities,24
sculptures,Logo system,42
sculptures,Sculpture,59
mountains,Path,11
mountains,Mountain landscape,49
mountains,Tree landscape,51
mountains,Water landscape,17
bridges,Water landscape,142
bridges,Pavilions and buildings,39
deciduous trees,Floral landscape,137
deciduous trees,Tree landscape,83
pedestrian walkways,Path,204
cycling paths,Path,243
people activities,Path,46
people activities,Square,23
people activities,Recreational facilities,20
signage,Logo system,69
islands,Water landscape,4
Pavilions and buildings,Greenway Cultural Landscape Theme,233
Square,Greenway Cultural Landscape Theme,44
Sculpture,Greenway Cultural Landscape Theme,70
Logo system,Greenway Service Facilitie Landscape Theme,158
Recreational facilities,Greenway Service Facilitie Landscape Theme,44
Path,Greenway Service Facilitie Landscape Theme,748
Mountain landscape,Greenway Environmental Landscape Theme,49
Tree landscape,Greenway Environmental Landscape Theme,329
Water landscape,Greenway Environmental Landscape Theme,359
Floral landscape,Greenway Environmental Landscape Theme,243
stone ,Non-greenway Greenway Landscape Theme,15
sculptures,Non-greenway Greenway Landscape Theme,48
advertising messages,Non-greenway Greenway Landscape Theme,105
bridges,Non-greenway Greenway Landscape Theme,50
animals,Non-greenway Greenway Landscape Theme,177
web logo images,Non-greenway Greenway Landscape Theme,43
people activities,Non-greenway Greenway Landscape Theme,38
mobile app screenshot,Non-greenway Greenway Landscape Theme,132
flyover,Non-greenway Greenway Landscape Theme,29
books,Non-greenway Greenway Landscape Theme,12
advertising messages,Non-greenway Greenway Landscape Theme,45
web map,Non-greenway Greenway Landscape Theme,125
blank photos,Non-greenway Greenway Landscape Theme,16
recreational facilities,Non-greenway Greenway Landscape Theme,164
recreational facilities,Non-greenway Greenway Landscape Theme,46
